dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
traffic,96,patchtst,42,0.553564,0.340443,0.744019,30556,30,1708.3
traffic,96,no_gate,42,0.533061,0.367990,0.730110,32221,30,1298.0
traffic,96,full_v2,42,0.494190,0.330859,0.702986,776177,26,2639.6
traffic,192,patchtst,42,0.543321,0.351375,0.737103,49084,16,401.4
traffic,192,no_gate,42,0.524741,0.338609,0.724390,50749,23,664.0
traffic,192,full_v2,42,0.518484,0.347307,0.720059,794705,17,1727.8
traffic,96,patchtst,123,0.555821,0.341329,0.745534,30556,25,1476.1
traffic,96,no_gate,123,0.535063,0.353398,0.731480,32221,19,1003.1
traffic,96,full_v2,123,0.515922,0.364273,0.718277,776177,20,2115.3
traffic,192,patchtst,123,0.547434,0.337853,0.739888,49084,30,675.4
traffic,192,no_gate,123,0.528670,0.346809,0.727097,50749,19,555.3
traffic,192,full_v2,123,0.492217,0.324729,0.701582,794705,30,3056.6
traffic,96,patchtst,2024,0.558166,0.355407,0.747105,30556,17,1104.4
traffic,96,no_gate,2024,0.530367,0.351874,0.728263,32221,25,1354.7
traffic,96,full_v2,2024,0.475354,0.335647,0.689459,776177,26,2810.6
traffic,192,patchtst,2024,0.538945,0.338867,0.734129,49084,18,438.2
traffic,192,no_gate,2024,0.527721,0.345757,0.726444,50749,19,559.3
traffic,192,full_v2,2024,0.520477,0.352641,0.721441,794705,22,2281.2
electricity,96,patchtst,42,0.172509,0.263545,0.415342,76642,15,242.8
electricity,96,no_gate,42,0.167659,0.259619,0.409461,83043,15,259.5
electricity,96,full_v2,42,0.163146,0.257070,0.403913,186455,15,521.2
electricity,192,patchtst,42,0.177981,0.266443,0.421878,113602,15,304.6
electricity,192,no_gate,42,0.172201,0.262731,0.414971,120003,14,333.9
electricity,192,full_v2,42,0.172814,0.263436,0.415709,223415,15,609.1
electricity,96,patchtst,123,0.169821,0.258958,0.412093,76642,16,247.3
electricity,96,no_gate,123,0.164523,0.256657,0.405614,83043,15,297.1
electricity,96,full_v2,123,0.166194,0.256641,0.407669,186455,17,585.0
electricity,192,patchtst,123,0.177091,0.267280,0.420822,113602,15,299.8
electricity,192,no_gate,123,0.173095,0.264093,0.416047,120003,14,326.8
electricity,192,full_v2,123,0.172638,0.264081,0.415498,223415,15,568.5
electricity,96,patchtst,2024,0.172960,0.263252,0.415885,76642,15,233.0
electricity,96,no_gate,2024,0.163964,0.256174,0.404924,83043,15,256.9
electricity,96,full_v2,2024,0.160866,0.252804,0.401081,186455,15,514.4
electricity,192,patchtst,2024,0.175109,0.264656,0.418460,113602,16,310.7
electricity,192,no_gate,2024,0.174901,0.266443,0.418211,120003,14,322.9
electricity,192,full_v2,2024,0.175047,0.264758,0.418386,223415,17,698.4
electricity,96,learned_gate,42,0.158357,0.251260,0.397940,186404,15,797.2
electricity,192,learned_gate,42,0.172590,0.263371,0.415440,223364,15,773.7
traffic,96,learned_gate,42,0.509232,0.340570,0.713605,776126,20,2777.3
traffic,192,learned_gate,42,0.520238,0.347383,0.721275,794654,17,1885.3
electricity,96,learned_gate,123,0.165414,0.258426,0.406711,186404,15,1409.0
electricity,192,learned_gate,123,0.174550,0.265197,0.417792,223364,15,1244.1
traffic,96,learned_gate,123,0.502198,0.335520,0.708659,776126,22,3064.6
traffic,192,learned_gate,123,0.525726,0.349091,0.725070,794654,17,1426.8
electricity,96,learned_gate,2024,0.160523,0.252839,0.400653,186404,15,1146.9
electricity,192,learned_gate,2024,0.172336,0.262643,0.415133,223364,15,1183.9
traffic,96,learned_gate,2024,0.495692,0.345348,0.704054,776126,23,2639.4
traffic,192,learned_gate,2024,0.520671,0.344614,0.721575,794654,16,1380.6
