dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
exchange,96,full_v2,42,0.076458,0.194747,0.276510,82539,14,21.3
exchange,96,full_v2,2024,0.077763,0.195160,0.278860,82539,13,20.0
exchange,96,gate_prior_only,123,0.076959,0.195407,0.277415,82539,12,16.3
exchange,96,capacity_match,42,0.076717,0.194494,0.276979,82488,14,17.3
exchange,96,capacity_match,2024,0.077125,0.195343,0.277714,82488,12,14.8
exchange,96,patchtst,123,0.078525,0.196800,0.280224,76016,13,13.5
exchange,192,full_v2,42,0.172284,0.297975,0.415070,119499,15,22.3
exchange,192,full_v2,2024,0.169924,0.295794,0.412218,119499,15,22.3
exchange,192,gate_prior_only,123,0.176834,0.300155,0.420516,119499,16,20.1
exchange,192,capacity_match,42,0.170486,0.296659,0.412900,119448,13,15.7
exchange,192,capacity_match,2024,0.172747,0.298044,0.415629,119448,15,18.5
exchange,192,patchtst,123,0.170371,0.298284,0.412760,112976,12,12.3
weather_ood,96,full_v2,42,0.198185,0.231428,0.445180,251275,26,192.0
weather_ood,96,full_v2,2024,0.199293,0.235385,0.446423,251275,23,163.5
weather_ood,96,gate_prior_only,123,0.197002,0.229748,0.443849,251275,27,162.7
weather_ood,96,capacity_match,42,0.200333,0.233728,0.447585,251224,27,150.8
weather_ood,96,capacity_match,2024,0.200821,0.234721,0.448130,251224,30,167.2
weather_ood,96,patchtst,123,0.204332,0.237323,0.452031,225674,28,123.0
weather_ood,192,full_v2,42,0.273369,0.294203,0.522847,325099,30,214.5
weather_ood,192,full_v2,2024,0.275903,0.294724,0.525265,325099,30,211.4
weather_ood,192,gate_prior_only,123,0.280967,0.299021,0.530063,325099,29,176.7
weather_ood,192,capacity_match,42,0.267007,0.288025,0.516727,325048,23,133.6
weather_ood,192,capacity_match,2024,0.275179,0.297071,0.524575,325048,29,164.6
weather_ood,192,patchtst,123,0.263644,0.286523,0.513463,299498,35,159.9
electricity_ood,96,full_v2,42,0.176705,0.265123,0.420363,186455,16,403.8
electricity_ood,96,full_v2,2024,0.174083,0.262108,0.417233,186455,17,421.9
electricity_ood,96,gate_prior_only,123,0.177287,0.266138,0.421054,186455,15,359.7
electricity_ood,96,capacity_match,42,0.172456,0.264987,0.415278,186404,19,417.2
electricity_ood,96,capacity_match,2024,0.172843,0.261710,0.415744,186404,18,391.0
electricity_ood,96,patchtst,123,0.185043,0.269724,0.430167,76642,15,167.4
electricity_ood,192,full_v2,42,0.190668,0.275859,0.436655,223415,16,446.7
electricity_ood,192,full_v2,2024,0.195066,0.278324,0.441662,223415,17,443.2
electricity_ood,192,gate_prior_only,123,0.188516,0.273218,0.434184,223415,16,403.3
electricity_ood,192,capacity_match,42,0.189358,0.275005,0.435153,223364,15,359.6
electricity_ood,192,capacity_match,2024,0.188443,0.273535,0.434101,223364,16,375.9
electricity_ood,192,patchtst,123,0.197294,0.281231,0.444178,113602,17,206.1
traffic_ood,96,full_v2,42,0.551419,0.342222,0.742576,776177,23,1731.2
traffic_ood,96,full_v2,2024,0.554982,0.345550,0.744971,776177,25,1880.1
traffic_ood,96,gate_prior_only,123,0.556344,0.337036,0.745885,776177,19,1383.6
traffic_ood,96,capacity_match,42,0.586006,0.349942,0.765510,776126,19,1200.6
traffic_ood,96,capacity_match,2024,0.571450,0.341629,0.755943,776126,18,1151.9
traffic_ood,96,patchtst,123,0.608203,0.338239,0.779874,30556,25,400.5
traffic_ood,192,full_v2,42,0.549119,0.336805,0.741026,794705,29,2175.6
traffic_ood,192,full_v2,2024,0.541320,0.330953,0.735745,794705,30,2259.5
traffic_ood,192,gate_prior_only,123,0.568026,0.353306,0.753675,794705,15,1108.3
traffic_ood,192,capacity_match,42,0.566212,0.338200,0.752470,794654,20,1290.7
traffic_ood,192,capacity_match,2024,0.544501,0.331576,0.737903,794654,23,1494.1
traffic_ood,192,patchtst,123,0.586743,0.337222,0.765992,49084,21,354.3
