dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
exchange,96,patchtst,2025,0.078460,0.196719,0.280108,76016,12,18.4
exchange,96,patchtst,2027,0.078559,0.196950,0.280284,76016,14,20.6
exchange,96,patchtst,2029,0.079371,0.197874,0.281729,76016,14,20.3
exchange,96,full_v2,2026,0.077306,0.195556,0.278039,82539,12,26.6
exchange,96,full_v2,2028,0.077788,0.196387,0.278904,82539,14,31.1
exchange,96,capacity_match,2025,0.085283,0.205085,0.292033,82488,19,33.3
exchange,96,capacity_match,2027,0.078364,0.195830,0.279937,82488,14,25.3
exchange,96,capacity_match,2029,0.081061,0.199709,0.284712,82488,16,27.3
exchange,96,gate_prior_only,2026,0.079111,0.197375,0.281267,82539,15,29.1
exchange,96,gate_prior_only,2028,0.087403,0.207365,0.295640,82539,19,35.0
exchange,192,patchtst,2025,0.174268,0.300845,0.417454,112976,13,18.9
exchange,192,patchtst,2027,0.176068,0.302857,0.419604,112976,14,20.4
exchange,192,patchtst,2029,0.181375,0.306065,0.425881,112976,15,21.8
exchange,192,full_v2,2026,0.170821,0.296944,0.413305,119499,14,30.4
exchange,192,full_v2,2028,0.169063,0.295424,0.411173,119499,14,30.5
exchange,192,capacity_match,2025,0.171371,0.296297,0.413970,119448,14,25.0
exchange,192,capacity_match,2027,0.169440,0.295891,0.411631,119448,13,23.4
exchange,192,capacity_match,2029,0.169773,0.296065,0.412035,119448,13,23.7
exchange,192,gate_prior_only,2026,0.172121,0.297757,0.414875,119499,13,24.7
exchange,192,gate_prior_only,2028,0.172830,0.299864,0.415728,119499,13,24.7
weather_ood,96,patchtst,2025,0.205264,0.237167,0.453061,225674,38,248.6
weather_ood,96,patchtst,2027,0.203085,0.233859,0.450650,225674,34,222.8
weather_ood,96,patchtst,2029,0.203778,0.236574,0.451418,225674,30,196.8
weather_ood,96,full_v2,2026,0.198315,0.230860,0.445326,251275,24,247.6
weather_ood,96,full_v2,2028,0.197916,0.231956,0.444877,251275,24,248.5
weather_ood,96,capacity_match,2025,0.202973,0.234224,0.450526,251224,27,224.7
weather_ood,96,capacity_match,2027,0.204548,0.237500,0.452270,251224,26,218.2
weather_ood,96,capacity_match,2029,0.203708,0.238255,0.451340,251224,27,226.7
weather_ood,96,gate_prior_only,2026,0.198772,0.231623,0.445838,251275,28,252.5
weather_ood,96,gate_prior_only,2028,0.205174,0.236376,0.452961,251275,28,251.4
weather_ood,192,patchtst,2025,0.264467,0.286697,0.514264,299498,37,246.4
weather_ood,192,patchtst,2027,0.259259,0.281043,0.509175,299498,31,207.7
weather_ood,192,patchtst,2029,0.262803,0.284605,0.512643,299498,31,207.1
weather_ood,192,full_v2,2026,0.269423,0.292197,0.519059,325099,27,281.8
weather_ood,192,full_v2,2028,0.278699,0.298781,0.527919,325099,32,332.5
weather_ood,192,capacity_match,2025,0.270593,0.291699,0.520185,325048,24,204.7
weather_ood,192,capacity_match,2027,0.265119,0.290002,0.514897,325048,25,179.3
weather_ood,192,capacity_match,2029,0.272050,0.293829,0.521585,325048,24,138.2
weather_ood,192,gate_prior_only,2026,0.266654,0.287802,0.516386,325099,24,144.9
weather_ood,192,gate_prior_only,2028,0.274837,0.296303,0.524249,325099,28,169.7
electricity_ood,96,patchtst,2025,0.184328,0.269161,0.429334,76642,15,155.5
electricity_ood,96,patchtst,2027,0.184557,0.269346,0.429601,76642,15,159.1
electricity_ood,96,patchtst,2029,0.183904,0.269297,0.428840,76642,17,189.9
electricity_ood,96,full_v2,2026,0.172314,0.260602,0.415107,186455,16,389.9
electricity_ood,96,full_v2,2028,0.171768,0.259873,0.414449,186455,18,433.9
electricity_ood,96,capacity_match,2025,0.172016,0.260094,0.414748,186404,17,369.1
electricity_ood,96,capacity_match,2027,0.173289,0.262604,0.416280,186404,17,374.1
electricity_ood,96,capacity_match,2029,0.174490,0.263708,0.417720,186404,16,350.7
electricity_ood,96,gate_prior_only,2026,0.172486,0.260976,0.415314,186455,18,420.7
electricity_ood,96,gate_prior_only,2028,0.174504,0.262798,0.417737,186455,15,353.2
electricity_ood,192,patchtst,2025,0.195918,0.277767,0.442626,113602,15,233.8
electricity_ood,192,patchtst,2027,0.195262,0.278084,0.441884,113602,18,275.2
electricity_ood,192,patchtst,2029,0.198047,0.283354,0.445024,113602,18,311.6
electricity_ood,192,full_v2,2026,0.194290,0.278404,0.440784,223415,18,581.2
electricity_ood,192,full_v2,2028,0.188787,0.274245,0.434496,223415,16,493.9
electricity_ood,192,capacity_match,2025,0.192513,0.277011,0.438763,223364,15,417.3
electricity_ood,192,capacity_match,2027,0.186414,0.271812,0.431757,223364,16,455.5
electricity_ood,192,capacity_match,2029,0.190377,0.275459,0.436322,223364,16,454.8
electricity_ood,192,gate_prior_only,2026,0.190715,0.275395,0.436709,223415,16,491.9
electricity_ood,192,gate_prior_only,2028,0.187051,0.272730,0.432494,223415,16,479.8
