dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
traffic_ood,96,patchtst,2025,0.609097,0.344449,0.780447,30556,24,368.6
traffic_ood,96,patchtst,2027,0.605630,0.337417,0.778222,30556,30,435.9
traffic_ood,96,patchtst,2029,0.594724,0.333109,0.771184,30556,30,436.0
traffic_ood,96,capacity_match,2026,0.550623,0.343971,0.742039,776126,29,1706.3
traffic_ood,96,capacity_match,2028,0.565995,0.348801,0.752327,776126,23,1372.3
traffic_ood,96,full_v2,2025,0.561912,0.333814,0.749608,776177,26,1934.5
traffic_ood,96,full_v2,2027,0.558125,0.346386,0.747078,776177,21,1568.9
traffic_ood,96,full_v2,2029,0.569474,0.351049,0.754635,776177,27,2011.3
traffic_ood,96,gate_prior_only,2026,0.544866,0.339035,0.738150,776177,20,1439.1
traffic_ood,96,gate_prior_only,2028,0.552736,0.328028,0.743462,776177,29,2078.4
traffic_ood,192,patchtst,2025,0.592398,0.335455,0.769674,49084,28,464.2
traffic_ood,192,patchtst,2027,0.597104,0.333927,0.772725,49084,30,481.5
traffic_ood,192,patchtst,2029,0.601266,0.340302,0.775414,49084,30,481.5
traffic_ood,192,capacity_match,2026,0.553319,0.337709,0.743854,794654,19,1185.5
traffic_ood,192,capacity_match,2028,0.566002,0.339565,0.752331,794654,19,1165.8
traffic_ood,192,full_v2,2025,0.543487,0.321372,0.737216,794705,30,2109.7
traffic_ood,192,full_v2,2027,0.542119,0.325144,0.736287,794705,30,2110.4
traffic_ood,192,full_v2,2029,0.564645,0.334189,0.751428,794705,28,1972.8
traffic_ood,192,gate_prior_only,2026,0.561076,0.326813,0.749050,794705,25,1703.2
traffic_ood,192,gate_prior_only,2028,0.569006,0.340382,0.754325,794705,21,1435.7
traffic_ood,96,patchtst,2026,0.601186,0.337456,0.775362,30556,22,387.4
traffic_ood,96,patchtst,2028,0.613820,0.341344,0.783467,30556,30,591.6
traffic_ood,96,capacity_match,2025,0.549085,0.332906,0.741003,776126,27,2148.7
traffic_ood,96,capacity_match,2027,0.583661,0.361613,0.763977,776126,29,2330.7
traffic_ood,96,gate_prior_only,2025,0.580370,0.368679,0.761820,776177,15,1456.8
traffic_ood,96,gate_prior_only,2029,0.559970,0.331903,0.748311,776177,23,2161.0
traffic_ood,192,patchtst,2026,0.595780,0.335076,0.771868,49084,30,604.1
traffic_ood,192,patchtst,2028,0.602172,0.344860,0.775998,49084,27,542.3
traffic_ood,192,capacity_match,2025,0.567434,0.331971,0.753282,794654,25,1973.8
traffic_ood,192,capacity_match,2027,0.565432,0.339740,0.751952,794654,22,1742.0
traffic_ood,192,capacity_match,2029,0.568736,0.344548,0.754146,794654,16,1265.4
traffic_ood,192,full_v2,2026,0.551908,0.341682,0.742905,794705,20,1918.7
traffic_ood,192,gate_prior_only,2025,0.567858,0.344746,0.753563,794705,16,1467.2
traffic_ood,192,gate_prior_only,2027,0.572258,0.338779,0.756477,794705,23,2089.4
traffic_ood,192,gate_prior_only,2029,0.557802,0.337385,0.746862,794705,18,1639.5
traffic_ood,96,capacity_match,2029,0.582109,0.349090,0.762960,776126,16,1359.1
traffic_ood,96,full_v2,2026,0.572767,0.366640,0.756814,776177,23,2988.1
traffic_ood,96,gate_prior_only,2027,0.552683,0.341201,0.743426,776177,24,2840.0
traffic_ood,192,full_v2,2028,0.546615,0.339066,0.739334,794705,22,2499.9
traffic_ood,96,full_v2,2028,0.561020,0.338595,0.749013,776177,30,2983.8
