dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,capacity_match,42,0.148873,0.194844,0.385840,251224,22,868.7
weather,96,capacity_match,2024,0.147637,0.193378,0.384235,251224,21,741.4
weather,96,capacity_match,13,0.147155,0.193430,0.383608,251224,21,764.9
weather,96,capacity_match,2023,0.151782,0.199014,0.389592,251224,29,1124.1
weather,192,capacity_match,42,0.189878,0.231329,0.435750,325048,21,1251.3
weather,192,capacity_match,2024,0.198019,0.242817,0.444993,325048,27,1844.9
weather,192,capacity_match,13,0.193233,0.235625,0.439582,325048,17,1184.1
weather,192,capacity_match,2023,0.193567,0.234593,0.439962,325048,20,1324.7
weather,336,capacity_match,42,0.224208,0.264414,0.473506,1082824,12,573.0
weather,336,capacity_match,2024,0.226305,0.264477,0.475716,1082824,12,518.9
weather,336,capacity_match,13,0.223993,0.262186,0.473279,1082824,11,383.6
weather,336,capacity_match,2023,0.224115,0.265967,0.473408,1082824,12,281.7
electricity,96,capacity_match,123,0.160065,0.255118,0.400082,186404,20,1040.8
electricity,96,capacity_match,13,0.161226,0.255532,0.401529,186404,15,789.9
electricity,96,capacity_match,31,0.160658,0.253376,0.400822,186404,14,733.7
electricity,192,capacity_match,2024,0.168902,0.260197,0.410977,223364,15,793.1
electricity,192,capacity_match,99,0.173266,0.263848,0.416253,223364,15,707.3
