dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
traffic,96,patchtst,123,0.541639,0.339179,0.735962,30556,20,761.8
traffic,96,patchtst,13,0.551868,0.342565,0.742878,30556,30,649.2
traffic,96,patchtst,31,0.544268,0.342302,0.737746,30556,25,528.4
traffic,96,full_v2,2024,0.504667,0.346603,0.710399,776177,27,2682.8
traffic,96,full_v2,99,0.499596,0.341057,0.706821,776177,21,2402.7
traffic,96,full_v2_fixed,42,0.507878,0.342733,0.712655,776177,19,2158.6
traffic,96,full_v2_fixed,7,0.503160,0.347917,0.709338,776177,18,1802.4
traffic,96,full_v2_fixed,2023,0.503069,0.340078,0.709273,776177,23,2295.3
traffic,96,capacity_match,123,0.496693,0.336998,0.704765,776126,30,2489.6
traffic,96,capacity_match,13,0.502638,0.338415,0.708969,776126,20,1668.5
traffic,96,capacity_match,31,0.509362,0.337995,0.713696,776126,19,1666.3
traffic,96,gate_prior_only,2024,0.503564,0.338670,0.709622,776177,29,2801.2
traffic,96,gate_prior_only,99,0.489714,0.332096,0.699795,776177,21,2017.4
traffic,192,patchtst,123,0.549481,0.337511,0.741270,49084,28,608.3
traffic,192,patchtst,13,0.553124,0.352485,0.743723,49084,15,333.1
traffic,192,patchtst,31,0.539715,0.348335,0.734653,49084,16,355.6
traffic,192,full_v2,2024,0.506936,0.341059,0.711994,794705,20,2001.9
traffic,192,full_v2,99,0.493738,0.326475,0.702665,794705,27,2691.6
traffic,192,full_v2_fixed,42,0.502827,0.324790,0.709103,794705,27,2821.5
traffic,192,full_v2_fixed,7,0.491330,0.325331,0.700950,794705,25,2572.9
traffic,192,full_v2_fixed,2023,0.498917,0.337944,0.706340,794705,19,1998.7
traffic,192,capacity_match,123,0.532151,0.349827,0.729487,794654,19,1665.6
traffic,192,capacity_match,13,0.529872,0.356079,0.727923,794654,16,1407.9
traffic,192,capacity_match,31,0.520158,0.349625,0.721220,794654,15,1321.9
traffic,192,gate_prior_only,2024,0.517372,0.349810,0.719286,794705,15,1524.3
traffic,192,gate_prior_only,99,0.515242,0.347650,0.717803,794705,15,1522.8
