dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,96,full_v2_fixed,42,0.152704,0.198157,0.390774,251275,28,995.9
weather,96,full_v2_fixed,2024,0.148877,0.195118,0.385846,251275,27,958.8
weather,96,full_v2_fixed,13,0.147273,0.195320,0.383761,251275,25,913.6
weather,96,full_v2_fixed,2023,0.146501,0.193139,0.382755,251275,29,905.9
weather,192,full_v2_fixed,42,0.188616,0.233615,0.434300,325099,23,738.8
weather,192,full_v2_fixed,2024,0.189572,0.232476,0.435399,325099,23,773.7
weather,192,full_v2_fixed,13,0.192827,0.233788,0.439121,325099,23,784.7
weather,192,full_v2_fixed,2023,0.193860,0.236942,0.440296,325099,27,927.3
weather,336,full_v2_fixed,42,0.225167,0.263995,0.474518,1082875,11,442.0
weather,336,full_v2_fixed,2024,0.225643,0.265940,0.475019,1082875,13,518.1
weather,336,full_v2_fixed,13,0.224926,0.262337,0.474264,1082875,11,446.3
weather,336,full_v2_fixed,2023,0.224251,0.261817,0.473551,1082875,11,440.7
electricity,96,full_v2_fixed,123,0.160547,0.254210,0.400683,186455,15,870.7
electricity,96,full_v2_fixed,13,0.166272,0.260343,0.407765,186455,21,1173.7
electricity,96,full_v2_fixed,31,0.161048,0.253017,0.401308,186455,19,1065.5
electricity,192,full_v2_fixed,2024,0.175694,0.265828,0.419159,223415,16,999.6
electricity,192,full_v2_fixed,99,0.169843,0.261084,0.412120,223415,15,1115.8
