  Epoch   1/50 | Train Loss: 1.015724 | Val Loss: 0.736522 | LR: 5.06e-05
  Epoch   2/50 | Train Loss: 0.931540 | Val Loss: 0.606848 | LR: 8.18e-05
  Epoch   3/50 | Train Loss: 0.821052 | Val Loss: 0.436248 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.708702 | Val Loss: 0.287584 | LR: 2.00e-04
  Epoch   5/50 | Train Loss: 0.621937 | Val Loss: 0.239381 | LR: 2.82e-04
  Epoch   6/50 | Train Loss: 0.565326 | Val Loss: 0.236462 | LR: 3.74e-04
  Epoch   7/50 | Train Loss: 0.509714 | Val Loss: 0.232274 | LR: 4.73e-04
  Epoch   8/50 | Train Loss: 0.477426 | Val Loss: 0.228494 | LR: 5.73e-04
  Epoch   9/50 | Train Loss: 0.454408 | Val Loss: 0.233858 | LR: 6.72e-04
  Epoch  10/50 | Train Loss: 0.419808 | Val Loss: 0.235357 | LR: 7.63e-04
  Epoch  11/50 | Train Loss: 0.401769 | Val Loss: 0.227565 | LR: 8.44e-04
  Epoch  12/50 | Train Loss: 0.383567 | Val Loss: 0.237275 | LR: 9.11e-04
  Epoch  13/50 | Train Loss: 0.353836 | Val Loss: 0.224834 | LR: 9.61e-04
  Epoch  14/50 | Train Loss: 0.337609 | Val Loss: 0.210760 | LR: 9.91e-04
  Epoch  15/50 | Train Loss: 0.306853 | Val Loss: 0.202467 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.303947 | Val Loss: 0.213250 | LR: 9.98e-04
  Epoch  17/50 | Train Loss: 0.285748 | Val Loss: 0.251074 | LR: 9.91e-04
  Epoch  18/50 | Train Loss: 0.279355 | Val Loss: 0.210967 | LR: 9.81e-04
  Epoch  19/50 | Train Loss: 0.268373 | Val Loss: 0.202887 | LR: 9.67e-04
  Epoch  20/50 | Train Loss: 0.256663 | Val Loss: 0.204552 | LR: 9.49e-04
  Epoch  21/50 | Train Loss: 0.247250 | Val Loss: 0.230100 | LR: 9.28e-04
  Epoch  22/50 | Train Loss: 0.244272 | Val Loss: 0.206734 | LR: 9.03e-04
  Epoch  23/50 | Train Loss: 0.239347 | Val Loss: 0.236144 | LR: 8.75e-04
  Early stopping at epoch 23
  [1/32] ili pl24 full_v2 s123 -> MSE=1.30151 MAE=0.79664 (6s)
  Epoch   1/50 | Train Loss: 0.943802 | Val Loss: 0.635908 | LR: 5.06e-05
  Epoch   2/50 | Train Loss: 0.858673 | Val Loss: 0.511967 | LR: 8.18e-05
  Epoch   3/50 | Train Loss: 0.774661 | Val Loss: 0.362924 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.669349 | Val Loss: 0.258388 | LR: 2.00e-04
  Epoch   5/50 | Train Loss: 0.600737 | Val Loss: 0.231412 | LR: 2.82e-04
  Epoch   6/50 | Train Loss: 0.557761 | Val Loss: 0.228013 | LR: 3.74e-04
  Epoch   7/50 | Train Loss: 0.507486 | Val Loss: 0.218817 | LR: 4.73e-04
  Epoch   8/50 | Train Loss: 0.466059 | Val Loss: 0.221184 | LR: 5.73e-04
  Epoch   9/50 | Train Loss: 0.450798 | Val Loss: 0.218278 | LR: 6.72e-04
  Epoch  10/50 | Train Loss: 0.435542 | Val Loss: 0.208013 | LR: 7.63e-04
  Epoch  11/50 | Train Loss: 0.397264 | Val Loss: 0.213321 | LR: 8.44e-04
  Epoch  12/50 | Train Loss: 0.369833 | Val Loss: 0.208679 | LR: 9.11e-04
  Epoch  13/50 | Train Loss: 0.366646 | Val Loss: 0.213605 | LR: 9.61e-04
  Epoch  14/50 | Train Loss: 0.342263 | Val Loss: 0.220688 | LR: 9.91e-04
  Epoch  15/50 | Train Loss: 0.319139 | Val Loss: 0.222455 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.301581 | Val Loss: 0.223359 | LR: 9.98e-04
  Epoch  17/50 | Train Loss: 0.295566 | Val Loss: 0.207304 | LR: 9.91e-04
  Epoch  18/50 | Train Loss: 0.283213 | Val Loss: 0.211127 | LR: 9.81e-04
  Epoch  19/50 | Train Loss: 0.270452 | Val Loss: 0.203414 | LR: 9.67e-04
  Epoch  20/50 | Train Loss: 0.263306 | Val Loss: 0.211387 | LR: 9.49e-04
  Epoch  21/50 | Train Loss: 0.258891 | Val Loss: 0.217755 | LR: 9.28e-04
  Epoch  22/50 | Train Loss: 0.254868 | Val Loss: 0.222763 | LR: 9.03e-04
  Epoch  23/50 | Train Loss: 0.241078 | Val Loss: 0.216110 | LR: 8.75e-04
  Epoch  24/50 | Train Loss: 0.233297 | Val Loss: 0.224182 | LR: 8.44e-04
  Epoch  25/50 | Train Loss: 0.228023 | Val Loss: 0.210736 | LR: 8.10e-04
  Epoch  26/50 | Train Loss: 0.222626 | Val Loss: 0.233431 | LR: 7.73e-04
  Epoch  27/50 | Train Loss: 0.214830 | Val Loss: 0.212095 | LR: 7.35e-04
  Early stopping at epoch 27
  [2/32] ili pl24 full_v2 s345 -> MSE=1.61162 MAE=0.89844 (7s)
  Epoch   1/50 | Train Loss: 1.006891 | Val Loss: 0.681524 | LR: 5.06e-05
  Epoch   2/50 | Train Loss: 0.927189 | Val Loss: 0.554714 | LR: 8.18e-05
  Epoch   3/50 | Train Loss: 0.819002 | Val Loss: 0.398689 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.690556 | Val Loss: 0.270769 | LR: 2.00e-04
  Epoch   5/50 | Train Loss: 0.620687 | Val Loss: 0.232308 | LR: 2.82e-04
  Epoch   6/50 | Train Loss: 0.578782 | Val Loss: 0.225942 | LR: 3.74e-04
  Epoch   7/50 | Train Loss: 0.508698 | Val Loss: 0.213302 | LR: 4.73e-04
  Epoch   8/50 | Train Loss: 0.496158 | Val Loss: 0.220555 | LR: 5.73e-04
  Epoch   9/50 | Train Loss: 0.459738 | Val Loss: 0.217896 | LR: 6.72e-04
  Epoch  10/50 | Train Loss: 0.423353 | Val Loss: 0.211131 | LR: 7.63e-04
  Epoch  11/50 | Train Loss: 0.390839 | Val Loss: 0.199323 | LR: 8.44e-04
  Epoch  12/50 | Train Loss: 0.378134 | Val Loss: 0.210807 | LR: 9.11e-04
  Epoch  13/50 | Train Loss: 0.354500 | Val Loss: 0.225869 | LR: 9.61e-04
  Epoch  14/50 | Train Loss: 0.331736 | Val Loss: 0.225045 | LR: 9.91e-04
  Epoch  15/50 | Train Loss: 0.322197 | Val Loss: 0.245662 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.315916 | Val Loss: 0.219017 | LR: 9.98e-04
  Epoch  17/50 | Train Loss: 0.293639 | Val Loss: 0.192829 | LR: 9.91e-04
  Epoch  18/50 | Train Loss: 0.277202 | Val Loss: 0.208827 | LR: 9.81e-04
  Epoch  19/50 | Train Loss: 0.267925 | Val Loss: 0.192397 | LR: 9.67e-04
  Epoch  20/50 | Train Loss: 0.262561 | Val Loss: 0.233479 | LR: 9.49e-04
  Epoch  21/50 | Train Loss: 0.255552 | Val Loss: 0.222429 | LR: 9.28e-04
  Epoch  22/50 | Train Loss: 0.241827 | Val Loss: 0.203353 | LR: 9.03e-04
  Epoch  23/50 | Train Loss: 0.235733 | Val Loss: 0.228565 | LR: 8.75e-04
  Epoch  24/50 | Train Loss: 0.227654 | Val Loss: 0.217379 | LR: 8.44e-04
  Epoch  25/50 | Train Loss: 0.226871 | Val Loss: 0.215737 | LR: 8.10e-04
  Epoch  26/50 | Train Loss: 0.212772 | Val Loss: 0.206134 | LR: 7.73e-04
