dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
ili,24,full_v2,42,1.506859,0.864783,1.227542,54801,27,6.4
ili,24,full_v2,234,1.460556,0.842461,1.208534,54801,27,6.1
ili,24,full_v2,456,1.406916,0.833112,1.186135,54801,28,6.4
ili,24,full_v2,678,1.286633,0.759852,1.134298,54801,20,5.4
ili,24,learned_gate,42,1.382125,0.830037,1.175638,54750,25,5.3
ili,24,learned_gate,234,1.419434,0.846814,1.191400,54750,22,5.2
ili,24,learned_gate,456,1.496278,0.885325,1.223224,54750,26,5.4
ili,24,learned_gate,678,1.386200,0.810349,1.177370,54750,37,6.7
ili,24,no_gate,42,1.298039,0.776995,1.139315,54695,34,6.3
ili,24,no_gate,234,1.290206,0.783685,1.135872,54695,40,6.7
ili,24,no_gate,456,1.326851,0.797568,1.151890,54695,50,8.0
ili,24,no_gate,678,1.406340,0.825941,1.185892,54695,33,6.4
ili,24,patchtst,42,1.287786,0.777785,1.134807,48294,26,5.0
ili,24,patchtst,234,1.262985,0.781497,1.123826,48294,40,6.4
ili,24,patchtst,456,1.277654,0.769524,1.130334,48294,23,4.8
ili,24,patchtst,678,1.381616,0.813642,1.175422,48294,33,5.9
ili,48,full_v2,42,2.397571,1.104076,1.548409,64041,14,4.6
ili,48,full_v2,234,2.224824,1.018272,1.491585,64041,16,5.0
ili,48,full_v2,456,1.719632,0.906681,1.311348,64041,36,7.4
ili,48,full_v2,678,2.248549,1.018477,1.499516,64041,16,4.9
ili,48,learned_gate,42,2.023255,1.041456,1.422412,63990,27,5.7
ili,48,learned_gate,234,1.771224,0.880123,1.330873,63990,39,6.5
ili,48,learned_gate,456,1.768958,0.910424,1.330022,63990,40,7.1
ili,48,learned_gate,678,1.810541,0.935875,1.345563,63990,47,7.3
ili,48,no_gate,42,2.345273,1.068336,1.531429,63935,15,4.0
ili,48,no_gate,234,1.996011,0.961129,1.412803,63935,35,5.8
ili,48,no_gate,456,2.047311,0.982938,1.430843,63935,22,4.7
ili,48,no_gate,678,1.919004,0.937710,1.385281,63935,30,5.6
ili,48,patchtst,42,1.993693,0.939686,1.411982,57534,20,4.1
ili,48,patchtst,234,2.199692,1.016003,1.483136,57534,16,3.7
ili,48,patchtst,456,1.735772,0.863853,1.317487,57534,37,5.6
ili,48,patchtst,678,2.205929,1.010800,1.485237,57534,16,3.8
