dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
etth1,96,patchtst,2024,0.376574,0.396132,0.613657,76014,16,40.8
etth1,96,no_gate,2024,0.381158,0.397896,0.617380,82415,13,41.1
etth1,96,full_v2,2024,0.380030,0.396513,0.616466,82521,14,55.8
etth1,192,patchtst,2024,0.431803,0.426974,0.657117,112974,14,36.3
etth1,192,no_gate,2024,0.429219,0.432204,0.655148,119375,21,63.0
etth1,192,full_v2,2024,0.434382,0.425941,0.659077,119481,13,52.8
etth1,336,patchtst,2024,0.440345,0.439759,0.663585,491934,10,27.1
etth1,336,no_gate,2024,0.441766,0.441541,0.664654,498335,10,31.9
etth1,336,full_v2,2024,0.437914,0.438034,0.661751,498441,10,40.7
ettm1,96,patchtst,2024,0.323888,0.361526,0.569111,76014,16,155.9
ettm1,96,no_gate,2024,0.314856,0.354131,0.561121,82415,25,293.7
ettm1,96,full_v2,2024,0.309439,0.353489,0.556273,82521,21,323.3
ettm1,192,patchtst,2024,0.355399,0.378181,0.596153,112974,21,205.3
ettm1,192,no_gate,2024,0.364943,0.384760,0.604105,119375,26,306.0
ettm1,192,full_v2,2024,0.359644,0.384688,0.599704,119481,26,400.9
ettm1,336,patchtst,2024,0.366972,0.390927,0.605782,491934,12,121.3
ettm1,336,no_gate,2024,0.365034,0.389139,0.604180,498335,14,171.1
ettm1,336,full_v2,2024,0.372696,0.397566,0.610488,498441,12,193.0
weather,96,patchtst,2024,0.151147,0.197709,0.388777,225674,35,334.7
weather,96,no_gate,2024,0.146433,0.192351,0.382666,250763,22,199.2
weather,96,full_v2,2024,0.149652,0.194340,0.386848,251275,24,291.6
weather,192,patchtst,2024,0.193071,0.234628,0.439398,299498,30,230.9
weather,192,no_gate,2024,0.193939,0.235638,0.440385,324587,21,204.7
weather,192,full_v2,2024,0.192856,0.235886,0.439154,325099,22,270.0
weather,336,patchtst,2024,0.220778,0.259740,0.469871,1057274,13,137.2
weather,336,no_gate,2024,0.229083,0.266762,0.478627,1082363,13,148.7
weather,336,full_v2,2024,0.223970,0.261613,0.473255,1082875,11,176.7
electricity,96,patchtst,2024,0.172960,0.263252,0.415885,76642,15,233.0
electricity,96,no_gate,2024,0.163964,0.256174,0.404924,83043,15,256.9
electricity,96,full_v2,2024,0.160866,0.252804,0.401081,186455,15,514.4
electricity,192,patchtst,2024,0.175109,0.264656,0.418460,113602,16,310.7
electricity,192,no_gate,2024,0.174901,0.266443,0.418211,120003,14,322.9
electricity,192,full_v2,2024,0.175047,0.264758,0.418386,223415,17,698.4
