dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
etth1,96,patchtst,42,0.379408,0.399206,0.615961,76014,17,43.7
etth1,96,no_gate,42,0.384972,0.398955,0.620461,82415,12,38.2
etth1,96,full_v2,42,0.383509,0.398683,0.619281,82521,14,56.3
etth1,192,patchtst,42,0.432596,0.425943,0.657720,112974,14,36.5
etth1,192,no_gate,42,0.428284,0.429350,0.654434,119375,21,63.2
etth1,192,full_v2,42,0.437935,0.427396,0.661766,119481,12,48.6
etth1,336,patchtst,42,0.438734,0.438052,0.662370,491934,10,27.0
etth1,336,no_gate,42,0.441562,0.441166,0.664501,498335,10,31.9
etth1,336,full_v2,42,0.437207,0.437753,0.661216,498441,10,40.9
ettm1,96,patchtst,42,0.329035,0.365853,0.573616,76014,13,127.7
ettm1,96,no_gate,42,0.313793,0.352093,0.560172,82415,20,235.6
ettm1,96,full_v2,42,0.306505,0.350393,0.553629,82521,25,384.4
ettm1,192,patchtst,42,0.358618,0.383019,0.598847,112974,33,317.3
ettm1,192,no_gate,42,0.357070,0.378863,0.597554,119375,22,261.7
ettm1,192,full_v2,42,0.363090,0.385474,0.602570,119481,26,401.2
ettm1,336,patchtst,42,0.369287,0.389877,0.607690,491934,14,141.4
ettm1,336,no_gate,42,0.367360,0.392278,0.606102,498335,14,172.5
ettm1,336,full_v2,42,0.363524,0.390397,0.602929,498441,12,191.8
weather,96,patchtst,42,0.149413,0.194219,0.386539,225674,35,317.4
weather,96,no_gate,42,0.145751,0.191651,0.381773,250763,23,209.0
weather,96,full_v2,42,0.148426,0.195226,0.385261,251275,25,306.3
weather,192,patchtst,42,0.191272,0.233036,0.437347,299498,29,224.2
weather,192,no_gate,42,0.194960,0.234843,0.441542,324587,16,158.9
weather,192,full_v2,42,0.200796,0.240253,0.448103,325099,26,324.0
weather,336,patchtst,42,0.219138,0.260889,0.468122,1057274,14,147.9
weather,336,no_gate,42,0.221455,0.260962,0.470590,1082363,11,128.3
weather,336,full_v2,42,0.224253,0.263884,0.473553,1082875,11,178.4
electricity,96,patchtst,42,0.172509,0.263545,0.415342,76642,15,242.8
electricity,96,no_gate,42,0.167659,0.259619,0.409461,83043,15,259.5
electricity,96,full_v2,42,0.163146,0.257070,0.403913,186455,15,521.2
electricity,192,patchtst,42,0.177981,0.266443,0.421878,113602,15,304.6
electricity,192,no_gate,42,0.172201,0.262731,0.414971,120003,14,333.9
electricity,192,full_v2,42,0.172814,0.263436,0.415709,223415,15,609.1
