dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
weather,336,full_v2_fixed,13,0.224938,0.262472,0.474276,1082875,11,289.7
weather,336,full_v2_fixed,31,0.224143,0.263618,0.473437,1082875,13,335.0
electricity,96,full_v2_fixed,42,0.156955,0.250983,0.396176,186455,17,559.7
electricity,96,full_v2_fixed,2024,0.155483,0.249285,0.394314,186455,21,669.5
electricity,96,full_v2_fixed,13,0.160704,0.255290,0.400878,186455,21,678.8
electricity,96,full_v2_fixed,2023,0.162301,0.255645,0.402866,186455,15,507.6
electricity,192,full_v2_fixed,123,0.169278,0.261176,0.411434,223415,16,535.6
electricity,192,full_v2_fixed,13,0.167731,0.260073,0.409550,223415,17,569.7
electricity,192,full_v2_fixed,31,0.172715,0.263676,0.415590,223415,16,576.8
traffic,96,full_v2_fixed,123,0.513646,0.352622,0.716691,776177,16,1504.3
traffic,96,full_v2_fixed,13,0.507865,0.349664,0.712646,776177,16,1493.0
traffic,96,full_v2_fixed,31,0.505876,0.344431,0.711249,776177,18,1675.4
traffic,192,full_v2_fixed,2024,0.509218,0.337079,0.713595,794705,20,1865.1
traffic,192,full_v2_fixed,99,0.512023,0.341610,0.715558,794705,18,1682.7
