  Epoch   1/50 | Train Loss: 0.462089 | Val Loss: 0.400825 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.398749 | Val Loss: 0.395295 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.393895 | Val Loss: 0.391799 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.390040 | Val Loss: 0.388263 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.386551 | Val Loss: 0.388042 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.383652 | Val Loss: 0.386229 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.378662 | Val Loss: 0.381481 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.374809 | Val Loss: 0.378906 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.371810 | Val Loss: 0.385708 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.368920 | Val Loss: 0.378730 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.364784 | Val Loss: 0.377586 | LR: 8.41e-04
  Epoch  12/50 | Train Loss: 0.359251 | Val Loss: 0.374230 | LR: 9.08e-04
  Epoch  13/50 | Train Loss: 0.354850 | Val Loss: 0.382663 | LR: 9.59e-04
  Epoch  14/50 | Train Loss: 0.349904 | Val Loss: 0.376862 | LR: 9.90e-04
  Epoch  15/50 | Train Loss: 0.345630 | Val Loss: 0.377232 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.341238 | Val Loss: 0.380733 | LR: 9.98e-04
  Epoch  17/50 | Train Loss: 0.338152 | Val Loss: 0.382827 | LR: 9.92e-04
  Epoch  18/50 | Train Loss: 0.332828 | Val Loss: 0.383226 | LR: 9.82e-04
  Epoch  19/50 | Train Loss: 0.329432 | Val Loss: 0.390297 | LR: 9.68e-04
  Epoch  20/50 | Train Loss: 0.324937 | Val Loss: 0.386972 | LR: 9.50e-04
  Early stopping at epoch 20
  [1/16] syn_ood pl96 no_env s42 -> MSE=0.31861 MAE=0.38629 (101s)
  Epoch   1/50 | Train Loss: 0.453630 | Val Loss: 0.415499 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.392560 | Val Loss: 0.410655 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.387791 | Val Loss: 0.408435 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.383647 | Val Loss: 0.406567 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.380488 | Val Loss: 0.406885 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.378018 | Val Loss: 0.404622 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.375892 | Val Loss: 0.404521 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.373443 | Val Loss: 0.401900 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.370647 | Val Loss: 0.401685 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.367078 | Val Loss: 0.400528 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.364082 | Val Loss: 0.409178 | LR: 8.41e-04
  Epoch  12/50 | Train Loss: 0.360682 | Val Loss: 0.401578 | LR: 9.08e-04
  Epoch  13/50 | Train Loss: 0.357521 | Val Loss: 0.404572 | LR: 9.59e-04
