dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,no_env,42,0.318614,0.386294,0.564459,250833,20,100.6
syn_ood,96,no_env,2024,0.318335,0.379697,0.564212,250833,25,131.8
syn_ood,96,no_env,2026,0.299317,0.360658,0.547099,250833,13,72.0
syn_ood,96,no_env,2028,0.283004,0.347571,0.531981,250833,17,91.1
syn_ood,192,no_env,42,0.342138,0.416532,0.584925,324657,19,102.7
syn_ood,192,no_env,2024,0.324376,0.394163,0.569540,324657,16,87.5
syn_ood,192,no_env,2026,0.306116,0.369586,0.553278,324657,21,111.4
syn_ood,192,no_env,2028,0.296059,0.363250,0.544113,324657,20,108.4
syn_ood_noise,96,no_env,42,0.598704,0.559058,0.773760,250833,15,81.4
syn_ood_noise,96,no_env,2024,0.575572,0.538740,0.758664,250833,19,101.4
syn_ood_noise,96,no_env,2026,0.558086,0.515254,0.747052,250833,18,96.3
syn_ood_noise,96,no_env,2028,0.529886,0.500112,0.727933,250833,14,76.5
syn_ood_noise,192,no_env,42,0.612283,0.580031,0.782485,324657,19,101.5
syn_ood_noise,192,no_env,2024,0.580134,0.554533,0.761665,324657,13,72.4
syn_ood_noise,192,no_env,2026,0.580837,0.532157,0.762127,324657,17,92.1
syn_ood_noise,192,no_env,2028,0.536722,0.516027,0.732613,324657,12,68.2
