dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
exchange,96,patchtst,2026,0.080266,0.199266,0.283313,76016,17,24.5
exchange,96,patchtst,2028,0.081141,0.199956,0.284852,76016,15,21.9
exchange,96,full_v2,2025,0.077385,0.195358,0.278182,82539,13,28.6
exchange,96,full_v2,2027,0.076604,0.194373,0.276774,82539,13,28.8
exchange,96,full_v2,2029,0.076722,0.194245,0.276988,82539,13,28.7
exchange,96,capacity_match,2026,0.078758,0.197475,0.280639,82488,15,27.4
exchange,96,capacity_match,2028,0.078073,0.196833,0.279415,82488,14,25.3
exchange,96,gate_prior_only,2025,0.078317,0.197286,0.279852,82539,15,27.7
exchange,96,gate_prior_only,2027,0.082204,0.200551,0.286712,82539,16,30.4
exchange,96,gate_prior_only,2029,0.085849,0.205840,0.293000,82539,17,32.1
exchange,192,patchtst,2026,0.172002,0.299638,0.414732,112976,13,18.9
exchange,192,patchtst,2028,0.172656,0.300011,0.415518,112976,13,19.0
exchange,192,full_v2,2025,0.167060,0.293998,0.408730,119499,14,30.6
exchange,192,full_v2,2027,0.168435,0.294120,0.410408,119499,14,30.2
exchange,192,full_v2,2029,0.169927,0.296827,0.412222,119499,13,28.0
exchange,192,capacity_match,2026,0.173486,0.298984,0.416517,119448,14,24.9
exchange,192,capacity_match,2028,0.176464,0.300465,0.420076,119448,17,29.8
exchange,192,gate_prior_only,2025,0.174340,0.298422,0.417540,119499,16,29.8
exchange,192,gate_prior_only,2027,0.170064,0.295997,0.412388,119499,14,26.4
exchange,192,gate_prior_only,2029,0.170178,0.296178,0.412526,119499,15,28.0
weather_ood,96,patchtst,2026,0.202866,0.234726,0.450407,225674,35,229.5
weather_ood,96,patchtst,2028,0.204783,0.236499,0.452529,225674,19,127.6
weather_ood,96,full_v2,2025,0.201234,0.232255,0.448592,251275,34,349.9
weather_ood,96,full_v2,2027,0.203171,0.236210,0.450745,251275,30,310.0
weather_ood,96,full_v2,2029,0.202261,0.235184,0.449734,251275,29,298.9
weather_ood,96,capacity_match,2026,0.207277,0.239994,0.455277,251224,27,223.4
weather_ood,96,capacity_match,2028,0.204367,0.236715,0.452070,251224,28,233.6
weather_ood,96,gate_prior_only,2025,0.201607,0.234597,0.449006,251275,27,243.4
weather_ood,96,gate_prior_only,2027,0.206805,0.237242,0.454758,251275,36,318.7
weather_ood,96,gate_prior_only,2029,0.201183,0.234028,0.448534,251275,31,276.5
weather_ood,192,patchtst,2026,0.263060,0.283993,0.512894,299498,27,180.5
weather_ood,192,patchtst,2028,0.268481,0.290523,0.518152,299498,42,278.0
weather_ood,192,full_v2,2025,0.262373,0.284002,0.512224,325099,23,241.3
weather_ood,192,full_v2,2027,0.265953,0.290124,0.515707,325099,26,269.9
weather_ood,192,full_v2,2029,0.262069,0.285587,0.511927,325099,23,241.4
weather_ood,192,capacity_match,2026,0.282637,0.302082,0.531636,325048,31,198.9
weather_ood,192,capacity_match,2028,0.265087,0.286857,0.514866,325048,22,127.5
weather_ood,192,gate_prior_only,2025,0.266210,0.287674,0.515956,325099,26,158.5
weather_ood,192,gate_prior_only,2027,0.264184,0.287002,0.513988,325099,27,161.0
weather_ood,192,gate_prior_only,2029,0.274478,0.292638,0.523907,325099,29,173.3
electricity_ood,96,patchtst,2026,0.184544,0.269431,0.429586,76642,15,166.0
electricity_ood,96,patchtst,2028,0.184302,0.269981,0.429305,76642,17,191.6
electricity_ood,96,full_v2,2025,0.174838,0.262077,0.418137,186455,18,448.0
electricity_ood,96,full_v2,2027,0.172437,0.260429,0.415256,186455,17,411.3
electricity_ood,96,full_v2,2029,0.171335,0.259828,0.413927,186455,16,391.5
electricity_ood,96,capacity_match,2026,0.174114,0.261353,0.417269,186404,18,392.3
electricity_ood,96,capacity_match,2028,0.172460,0.260529,0.415283,186404,18,385.0
electricity_ood,96,gate_prior_only,2025,0.173226,0.261807,0.416204,186455,16,373.3
electricity_ood,96,gate_prior_only,2027,0.168173,0.257111,0.410089,186455,17,401.4
electricity_ood,96,gate_prior_only,2029,0.170206,0.259875,0.412560,186455,17,407.7
electricity_ood,192,patchtst,2026,0.192796,0.276862,0.439086,113602,17,305.7
electricity_ood,192,patchtst,2028,0.196367,0.278960,0.443133,113602,17,282.5
electricity_ood,192,full_v2,2025,0.190956,0.275423,0.436985,223415,18,552.8
electricity_ood,192,full_v2,2027,0.194646,0.278432,0.441187,223415,19,599.6
electricity_ood,192,full_v2,2029,0.193064,0.275516,0.439390,223415,24,834.4
electricity_ood,192,capacity_match,2026,0.196064,0.280706,0.442791,223364,15,498.7
electricity_ood,192,capacity_match,2028,0.187753,0.273306,0.433304,223364,15,418.7
electricity_ood,192,gate_prior_only,2025,0.189803,0.274851,0.435663,223415,15,420.2
electricity_ood,192,gate_prior_only,2027,0.191241,0.276602,0.437311,223415,14,384.5
electricity_ood,192,gate_prior_only,2029,0.188679,0.274034,0.434372,223415,15,411.3
