dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
exchange,96,no_gate,123,0.080317,0.199097,0.283402,82417,14,29.2
exchange,96,no_gate,456,0.083929,0.204001,0.289705,82417,14,29.0
exchange,96,no_gate,789,0.079175,0.198751,0.281380,82417,14,28.5
exchange,96,full_v2,234,0.082010,0.202508,0.286374,82539,16,55.7
exchange,96,full_v2,567,0.077315,0.195228,0.278055,82539,13,44.6
exchange,96,learned_gate,42,0.078042,0.196152,0.279360,82488,12,25.2
exchange,96,learned_gate,345,0.079289,0.198443,0.281583,82488,15,30.6
exchange,96,learned_gate,678,0.077295,0.195480,0.278020,82488,14,30.6
exchange,192,patchtst,123,0.176339,0.302350,0.419928,112976,15,26.1
exchange,192,patchtst,456,0.181969,0.308157,0.426578,112976,15,26.8
exchange,192,patchtst,789,0.177220,0.303498,0.420975,112976,14,24.7
exchange,192,no_gate,234,0.175567,0.301581,0.419007,119377,12,24.9
exchange,192,no_gate,567,0.172925,0.299895,0.415843,119377,12,24.1
exchange,192,full_v2,42,0.171667,0.296859,0.414327,119499,14,47.7
exchange,192,full_v2,345,0.168186,0.295108,0.410105,119499,13,45.0
exchange,192,full_v2,678,0.171831,0.297449,0.414525,119499,14,48.4
exchange,192,learned_gate,123,0.177841,0.304365,0.421712,119448,15,29.6
exchange,192,learned_gate,456,0.171050,0.297711,0.413582,119448,13,27.7
exchange,192,learned_gate,789,0.168399,0.294745,0.410364,119448,14,28.8
weather_ood,96,patchtst,42,0.200375,0.233055,0.447632,225674,35,482.7
weather_ood,96,patchtst,123,0.203035,0.233367,0.450594,225674,29,374.7
weather_ood,96,patchtst,234,0.204519,0.235837,0.452237,225674,39,436.9
weather_ood,96,patchtst,345,0.203586,0.236493,0.451205,225674,38,388.4
weather_ood,96,patchtst,456,0.205040,0.236491,0.452814,225674,44,494.7
weather_ood,96,patchtst,567,0.204809,0.235490,0.452558,225674,32,318.7
weather_ood,96,patchtst,678,0.203959,0.236345,0.451618,225674,22,249.2
weather_ood,96,patchtst,789,0.203172,0.236420,0.450746,225674,34,365.4
