dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,patchtst,42,0.318920,0.379153,0.564730,225646,16,629.8
syn_ood,96,patchtst,123,0.318863,0.379900,0.564680,225646,15,795.7
syn_ood,96,patchtst,2024,0.319385,0.383747,0.565142,225646,13,556.3
syn_ood,96,patchtst,5,0.317565,0.377937,0.563529,225646,18,1130.4
syn_ood,96,patchtst,6,0.318149,0.379833,0.564047,225646,13,468.1
syn_ood,96,full_v2,42,0.321259,0.385532,0.566797,250841,13,570.4
syn_ood,96,full_v2,123,0.322458,0.388358,0.567854,250841,12,527.8
syn_ood,96,full_v2,2024,0.322046,0.384270,0.567491,250841,15,656.6
syn_ood,96,full_v2,5,0.322569,0.382816,0.567952,250841,16,698.5
syn_ood,96,full_v2,6,0.321851,0.382011,0.567320,250841,15,619.5
syn_ood,96,pcd_gate,42,0.322799,0.382228,0.568154,250743,15,584.0
syn_ood,96,pcd_gate,123,0.321485,0.384764,0.566997,250743,13,499.0
syn_ood,96,pcd_gate,2024,0.320957,0.384471,0.566531,250743,13,503.4
syn_ood,96,pcd_gate,5,0.323556,0.390434,0.568819,250743,11,438.5
syn_ood,96,pcd_gate,6,0.321293,0.381586,0.566827,250743,15,574.0
