dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,patchtst,42,0.321749,0.387502,0.567229,225646,20,1082.3
syn_ood,96,patchtst,123,0.336263,0.399400,0.579882,225646,22,1516.7
syn_ood,96,full_v2,42,0.326861,0.393382,0.571718,250841,17,1367.8
syn_ood,96,full_v2,123,0.336314,0.402218,0.579926,250841,15,633.5
syn_ood,96,full_v2_fixed,42,0.326558,0.392899,0.571453,250841,17,875.9
syn_ood,96,full_v2_fixed,123,0.336314,0.402217,0.579926,250841,15,918.4
syn_ood,96,dlinear,42,0.392475,0.460529,0.626479,18624,18,101.6
syn_ood,96,dlinear,123,0.376506,0.439878,0.613601,18624,23,67.1
syn_ood,96,itransformer,42,0.334975,0.404214,0.578770,162400,16,144.4
syn_ood,96,itransformer,123,0.355952,0.419581,0.596617,162400,15,83.1
syn_ood,192,patchtst,42,0.340279,0.412069,0.583335,299470,18,503.3
syn_ood,192,patchtst,123,0.360172,0.423792,0.600143,299470,17,549.7
syn_ood,192,full_v2,42,0.344788,0.417442,0.587187,324665,15,1301.2
syn_ood,192,full_v2,123,0.362294,0.424538,0.601909,324665,16,1242.2
syn_ood,192,full_v2_fixed,42,0.344674,0.417071,0.587089,324665,15,467.1
syn_ood,192,full_v2_fixed,123,0.362294,0.424538,0.601909,324665,16,484.1
syn_ood,192,dlinear,42,0.443131,0.498249,0.665681,37248,23,24.2
syn_ood,192,dlinear,123,0.431028,0.480334,0.656527,37248,31,28.7
syn_ood,192,itransformer,42,0.352355,0.424673,0.593595,168640,20,91.4
syn_ood,192,itransformer,123,0.381066,0.439959,0.617305,168640,18,95.4
