  Epoch   1/50 | Train Loss: 0.532666 | Val Loss: 0.406191 | LR: 5.05e-05
  Epoch   2/50 | Train Loss: 0.444241 | Val Loss: 0.401212 | LR: 8.15e-05
  Epoch   3/50 | Train Loss: 0.437503 | Val Loss: 0.401716 | LR: 1.32e-04
  Epoch   4/50 | Train Loss: 0.432821 | Val Loss: 0.399711 | LR: 1.99e-04
  Epoch   5/50 | Train Loss: 0.428455 | Val Loss: 0.396114 | LR: 2.80e-04
  Epoch   6/50 | Train Loss: 0.423917 | Val Loss: 0.398190 | LR: 3.72e-04
  Epoch   7/50 | Train Loss: 0.415961 | Val Loss: 0.384126 | LR: 4.70e-04
  Epoch   8/50 | Train Loss: 0.408775 | Val Loss: 0.385961 | LR: 5.70e-04
  Epoch   9/50 | Train Loss: 0.405180 | Val Loss: 0.379614 | LR: 6.69e-04
  Epoch  10/50 | Train Loss: 0.402936 | Val Loss: 0.379574 | LR: 7.60e-04
  Epoch  11/50 | Train Loss: 0.401653 | Val Loss: 0.379670 | LR: 8.41e-04
  Epoch  12/50 | Train Loss: 0.399061 | Val Loss: 0.379654 | LR: 9.08e-04
  Epoch  13/50 | Train Loss: 0.397523 | Val Loss: 0.379667 | LR: 9.59e-04
  Epoch  14/50 | Train Loss: 0.394247 | Val Loss: 0.379243 | LR: 9.90e-04
  Epoch  15/50 | Train Loss: 0.392003 | Val Loss: 0.382349 | LR: 1.00e-03
  Epoch  16/50 | Train Loss: 0.389729 | Val Loss: 0.382535 | LR: 9.98e-04
  Epoch  17/50 | Train Loss: 0.386832 | Val Loss: 0.382492 | LR: 9.92e-04
  Epoch  18/50 | Train Loss: 0.383994 | Val Loss: 0.382670 | LR: 9.82e-04
  Epoch  19/50 | Train Loss: 0.380978 | Val Loss: 0.387746 | LR: 9.68e-04
  Epoch  20/50 | Train Loss: 0.378290 | Val Loss: 0.393885 | LR: 9.50e-04
  Epoch  21/50 | Train Loss: 0.374876 | Val Loss: 0.383839 | LR: 9.29e-04
  Epoch  22/50 | Train Loss: 0.371109 | Val Loss: 0.388767 | LR: 9.04e-04
  Early stopping at epoch 22
