dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
syn_ood,96,patchtst,123,0.332887,0.396500,0.576964,225646,22,73.8
syn_ood,96,patchtst,2025,0.286001,0.340912,0.534791,225646,19,66.3
syn_ood,96,patchtst,2027,0.336895,0.397495,0.580427,225646,20,71.7
syn_ood,96,patchtst,2029,0.316337,0.386853,0.562438,225646,17,64.7
syn_ood,96,full_v2,123,0.339161,0.403314,0.582375,250841,15,92.7
syn_ood,96,full_v2,2025,0.290780,0.344936,0.539240,250841,16,100.0
syn_ood,96,full_v2,2027,0.337467,0.402551,0.580919,250841,15,95.2
syn_ood,96,full_v2,2029,0.322125,0.389980,0.567561,250841,19,114.7
syn_ood,96,capacity_match,123,0.338580,0.402629,0.581876,250790,15,68.1
syn_ood,96,capacity_match,2025,0.292977,0.350012,0.541273,250790,14,63.9
syn_ood,96,capacity_match,2027,0.335893,0.399650,0.579563,250790,16,73.0
syn_ood,96,capacity_match,2029,0.321775,0.393330,0.567252,250790,15,68.3
syn_ood,96,gate_prior_only,123,0.341044,0.405502,0.583990,250841,16,81.1
syn_ood,96,gate_prior_only,2025,0.292940,0.346224,0.541240,250841,17,87.7
syn_ood,96,gate_prior_only,2027,0.336030,0.398935,0.579681,250841,16,82.5
syn_ood,96,gate_prior_only,2029,0.322571,0.394426,0.567954,250841,15,79.2
syn_ood,96,no_env,123,0.339737,0.404619,0.582870,250833,15,72.6
syn_ood,96,no_env,2025,0.289647,0.347224,0.538189,250833,19,93.6
syn_ood,96,no_env,2027,0.337406,0.401649,0.580867,250833,16,80.9
syn_ood,96,no_env,2029,0.321172,0.392403,0.566721,250833,16,80.8
syn_ood,192,patchtst,123,0.360039,0.423622,0.600032,299470,17,67.6
syn_ood,192,patchtst,2025,0.305173,0.360299,0.552425,299470,18,69.6
syn_ood,192,patchtst,2027,0.348860,0.416807,0.590644,299470,19,73.9
syn_ood,192,patchtst,2029,0.357125,0.427390,0.597599,299470,18,70.6
syn_ood,192,full_v2,123,0.363284,0.424674,0.602731,324665,16,101.4
syn_ood,192,full_v2,2025,0.306802,0.363069,0.553897,324665,17,104.4
syn_ood,192,full_v2,2027,0.354633,0.422123,0.595511,324665,19,114.0
syn_ood,192,full_v2,2029,0.359895,0.429552,0.599912,324665,17,100.1
syn_ood,192,capacity_match,123,0.362746,0.426591,0.602284,324614,17,77.7
syn_ood,192,capacity_match,2025,0.305833,0.360876,0.553022,324614,17,77.6
syn_ood,192,capacity_match,2027,0.353818,0.421274,0.594826,324614,15,68.9
syn_ood,192,capacity_match,2029,0.360699,0.431653,0.600582,324614,17,77.6
syn_ood,192,gate_prior_only,123,0.362583,0.423952,0.602149,324665,20,104.4
syn_ood,192,gate_prior_only,2025,0.305805,0.362367,0.552996,324665,16,84.0
syn_ood,192,gate_prior_only,2027,0.352669,0.419503,0.593860,324665,16,83.4
syn_ood,192,gate_prior_only,2029,0.359910,0.428992,0.599925,324665,16,87.2
syn_ood,192,no_env,123,0.360638,0.423101,0.600532,324657,19,95.7
syn_ood,192,no_env,2025,0.306910,0.362536,0.553995,324657,17,87.4
syn_ood,192,no_env,2027,0.351039,0.419365,0.592485,324657,15,74.8
syn_ood,192,no_env,2029,0.360987,0.429105,0.600822,324657,15,74.0
syn_ood_noise,96,patchtst,123,0.601995,0.561784,0.775883,225646,20,72.8
syn_ood_noise,96,patchtst,2025,0.541871,0.499244,0.736119,225646,18,66.5
syn_ood_noise,96,patchtst,2027,0.620784,0.569883,0.787898,225646,19,69.9
syn_ood_noise,96,patchtst,2029,0.577291,0.550178,0.759797,225646,16,61.8
syn_ood_noise,96,full_v2,123,0.596565,0.564360,0.772376,250841,15,94.2
syn_ood_noise,96,full_v2,2025,0.545174,0.503633,0.738359,250841,15,93.8
syn_ood_noise,96,full_v2,2027,0.610955,0.569823,0.781636,250841,14,88.1
syn_ood_noise,96,full_v2,2029,0.579695,0.556575,0.761377,250841,12,76.7
syn_ood_noise,96,capacity_match,123,0.607143,0.563965,0.779194,250790,17,81.0
syn_ood_noise,96,capacity_match,2025,0.552234,0.503158,0.743125,250790,17,80.0
syn_ood_noise,96,capacity_match,2027,0.614878,0.571179,0.784142,250790,14,66.5
syn_ood_noise,96,capacity_match,2029,0.581313,0.556233,0.762439,250790,13,62.1
syn_ood_noise,96,gate_prior_only,123,0.594500,0.558810,0.771038,250841,16,86.4
syn_ood_noise,96,gate_prior_only,2025,0.551575,0.508222,0.742681,250841,13,66.8
syn_ood_noise,96,gate_prior_only,2027,0.630717,0.576144,0.794177,250841,16,79.3
syn_ood_noise,96,gate_prior_only,2029,0.579081,0.555795,0.760974,250841,13,71.0
syn_ood_noise,96,no_env,123,0.615645,0.565503,0.784630,250833,17,86.3
syn_ood_noise,96,no_env,2025,0.559322,0.507430,0.747878,250833,17,86.0
syn_ood_noise,96,no_env,2027,0.652461,0.583725,0.807751,250833,19,94.2
syn_ood_noise,96,no_env,2029,0.580964,0.552571,0.762210,250833,15,75.2
syn_ood_noise,192,patchtst,123,0.633384,0.588118,0.795854,299470,19,71.3
syn_ood_noise,192,patchtst,2025,0.567167,0.519251,0.753105,299470,17,63.5
syn_ood_noise,192,patchtst,2027,0.641382,0.588230,0.800863,299470,19,68.4
syn_ood_noise,192,patchtst,2029,0.622554,0.591829,0.789021,299470,16,57.8
syn_ood_noise,192,full_v2,123,0.623367,0.583566,0.789536,324665,16,91.3
syn_ood_noise,192,full_v2,2025,0.568359,0.520570,0.753896,324665,16,90.7
syn_ood_noise,192,full_v2,2027,0.639884,0.586296,0.799927,324665,17,97.4
syn_ood_noise,192,full_v2,2029,0.635454,0.595351,0.797153,324665,18,100.6
syn_ood_noise,192,capacity_match,123,0.618274,0.581435,0.786304,324614,16,70.6
syn_ood_noise,192,capacity_match,2025,0.567210,0.521108,0.753134,324614,15,66.1
syn_ood_noise,192,capacity_match,2027,0.628561,0.581682,0.792819,324614,18,77.7
syn_ood_noise,192,capacity_match,2029,0.635282,0.595903,0.797046,324614,16,70.6
syn_ood_noise,192,gate_prior_only,123,0.626975,0.584459,0.791818,324665,17,85.7
syn_ood_noise,192,gate_prior_only,2025,0.576239,0.523782,0.759104,324665,16,79.4
syn_ood_noise,192,gate_prior_only,2027,0.659361,0.592892,0.812011,324665,18,87.6
syn_ood_noise,192,gate_prior_only,2029,0.625716,0.592558,0.791022,324665,17,85.3
syn_ood_noise,192,no_env,123,0.630276,0.587245,0.793899,324657,15,72.4
syn_ood_noise,192,no_env,2025,0.564405,0.519020,0.751269,324657,16,75.7
syn_ood_noise,192,no_env,2027,0.629532,0.584565,0.793431,324657,14,66.8
syn_ood_noise,192,no_env,2029,0.629259,0.595041,0.793258,324657,17,81.4
