  Epoch   1/30 | Train Loss: 0.710943 | Val Loss: 0.559325 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.498638 | Val Loss: 0.489620 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.453531 | Val Loss: 0.458549 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.419970 | Val Loss: 0.411852 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.389012 | Val Loss: 0.380410 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.369464 | Val Loss: 0.365890 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.358467 | Val Loss: 0.370308 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.351754 | Val Loss: 0.358880 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.346618 | Val Loss: 0.353348 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.343129 | Val Loss: 0.359571 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.339720 | Val Loss: 0.355339 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.337665 | Val Loss: 0.349313 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.336315 | Val Loss: 0.349153 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.333915 | Val Loss: 0.352966 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.332925 | Val Loss: 0.352063 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.331972 | Val Loss: 0.343584 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.331216 | Val Loss: 0.352411 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.329950 | Val Loss: 0.353077 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.329539 | Val Loss: 0.351501 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.328759 | Val Loss: 0.358532 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.327753 | Val Loss: 0.347640 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.327546 | Val Loss: 0.348679 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.326615 | Val Loss: 0.348150 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.326465 | Val Loss: 0.346591 | LR: 1.88e-04
  Early stopping at epoch 24
  [1/20] traffic_ood pl96 patchtst s2025 -> MSE=0.60910 MAE=0.34445 (369s)
  Epoch   1/30 | Train Loss: 0.716903 | Val Loss: 0.566515 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.505067 | Val Loss: 0.497113 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.460669 | Val Loss: 0.466167 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.427167 | Val Loss: 0.424072 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.396045 | Val Loss: 0.390529 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.377515 | Val Loss: 0.373371 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.365936 | Val Loss: 0.361198 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.357470 | Val Loss: 0.357195 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.351904 | Val Loss: 0.354862 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.347968 | Val Loss: 0.355975 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.344685 | Val Loss: 0.364062 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.342251 | Val Loss: 0.351453 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.339745 | Val Loss: 0.345521 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.338219 | Val Loss: 0.344689 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.336832 | Val Loss: 0.344158 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.335559 | Val Loss: 0.349841 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.334322 | Val Loss: 0.347180 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.333673 | Val Loss: 0.349762 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.332738 | Val Loss: 0.343544 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.331645 | Val Loss: 0.345771 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.330943 | Val Loss: 0.343419 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.330546 | Val Loss: 0.341902 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.330188 | Val Loss: 0.341677 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.329185 | Val Loss: 0.341596 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.329023 | Val Loss: 0.344150 | LR: 1.33e-04
  Epoch  26/30 | Train Loss: 0.328600 | Val Loss: 0.340868 | LR: 8.68e-05
  Epoch  27/30 | Train Loss: 0.328317 | Val Loss: 0.340028 | LR: 4.95e-05
  Epoch  28/30 | Train Loss: 0.327926 | Val Loss: 0.339872 | LR: 2.22e-05
  Epoch  29/30 | Train Loss: 0.328117 | Val Loss: 0.342583 | LR: 5.58e-06
  Epoch  30/30 | Train Loss: 0.328062 | Val Loss: 0.340487 | LR: 4.00e-09
  [2/20] traffic_ood pl96 patchtst s2027 -> MSE=0.60563 MAE=0.33742 (436s)
  Epoch   1/30 | Train Loss: 0.722440 | Val Loss: 0.562384 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.502779 | Val Loss: 0.493675 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.456208 | Val Loss: 0.461958 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.421599 | Val Loss: 0.412805 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.391226 | Val Loss: 0.383899 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.372079 | Val Loss: 0.366184 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.360217 | Val Loss: 0.359302 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.352781 | Val Loss: 0.348389 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.348028 | Val Loss: 0.347868 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.344861 | Val Loss: 0.343177 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.341447 | Val Loss: 0.343383 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.338750 | Val Loss: 0.339672 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.337161 | Val Loss: 0.342338 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.334839 | Val Loss: 0.340205 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.333872 | Val Loss: 0.339882 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.332103 | Val Loss: 0.337661 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.330816 | Val Loss: 0.334266 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.330361 | Val Loss: 0.335101 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.329809 | Val Loss: 0.336022 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.328776 | Val Loss: 0.336032 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.327815 | Val Loss: 0.334430 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.328035 | Val Loss: 0.334823 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.327321 | Val Loss: 0.334351 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.326608 | Val Loss: 0.335066 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.326560 | Val Loss: 0.334046 | LR: 1.33e-04
  Epoch  26/30 | Train Loss: 0.326126 | Val Loss: 0.333695 | LR: 8.68e-05
  Epoch  27/30 | Train Loss: 0.325827 | Val Loss: 0.333985 | LR: 4.95e-05
  Epoch  28/30 | Train Loss: 0.325534 | Val Loss: 0.333156 | LR: 2.22e-05
  Epoch  29/30 | Train Loss: 0.325955 | Val Loss: 0.332588 | LR: 5.58e-06
  Epoch  30/30 | Train Loss: 0.325541 | Val Loss: 0.333986 | LR: 4.00e-09
  [3/20] traffic_ood pl96 patchtst s2029 -> MSE=0.59472 MAE=0.33311 (436s)
  Epoch   1/30 | Train Loss: 0.701849 | Val Loss: 0.566303 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.497676 | Val Loss: 0.490211 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.447721 | Val Loss: 0.453613 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.405931 | Val Loss: 0.397733 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.366322 | Val Loss: 0.370428 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.343435 | Val Loss: 0.361876 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.333424 | Val Loss: 0.358466 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.326869 | Val Loss: 0.350704 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.322603 | Val Loss: 0.348680 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.318889 | Val Loss: 0.350122 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.315505 | Val Loss: 0.344478 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.312683 | Val Loss: 0.352160 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.310234 | Val Loss: 0.337284 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.307940 | Val Loss: 0.340813 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.305746 | Val Loss: 0.334951 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.303941 | Val Loss: 0.339997 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.302221 | Val Loss: 0.334924 | LR: 6.83e-04
