dataset,pred_len,variant,seed,mse,mae,rmse,params,epochs,time
traffic_ood,96,patchtst,2025,0.609097,0.344449,0.780447,30556,24,368.6
traffic_ood,96,patchtst,2027,0.605630,0.337417,0.778222,30556,30,435.9
traffic_ood,96,patchtst,2029,0.594724,0.333109,0.771184,30556,30,436.0
traffic_ood,96,capacity_match,2026,0.550623,0.343971,0.742039,776126,29,1706.3
traffic_ood,96,capacity_match,2028,0.565995,0.348801,0.752327,776126,23,1372.3
traffic_ood,96,full_v2,2025,0.561912,0.333814,0.749608,776177,26,1934.5
traffic_ood,96,full_v2,2027,0.558125,0.346386,0.747078,776177,21,1568.9
traffic_ood,96,full_v2,2029,0.569474,0.351049,0.754635,776177,27,2011.3
traffic_ood,96,gate_prior_only,2026,0.544866,0.339035,0.738150,776177,20,1439.1
traffic_ood,96,gate_prior_only,2028,0.552736,0.328028,0.743462,776177,29,2078.4
traffic_ood,192,patchtst,2025,0.592398,0.335455,0.769674,49084,28,464.2
traffic_ood,192,patchtst,2027,0.597104,0.333927,0.772725,49084,30,481.5
traffic_ood,192,patchtst,2029,0.601266,0.340302,0.775414,49084,30,481.5
traffic_ood,192,capacity_match,2026,0.553319,0.337709,0.743854,794654,19,1185.5
traffic_ood,192,capacity_match,2028,0.566002,0.339565,0.752331,794654,19,1165.8
traffic_ood,192,full_v2,2025,0.543487,0.321372,0.737216,794705,30,2109.7
traffic_ood,192,full_v2,2027,0.542119,0.325144,0.736287,794705,30,2110.4
traffic_ood,192,full_v2,2029,0.564645,0.334189,0.751428,794705,28,1972.8
traffic_ood,192,gate_prior_only,2026,0.561076,0.326813,0.749050,794705,25,1703.2
traffic_ood,192,gate_prior_only,2028,0.569006,0.340382,0.754325,794705,21,1435.7
