  Epoch   1/30 | Train Loss: 0.662794 | Val Loss: 0.658690 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.478409 | Val Loss: 0.593500 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.438393 | Val Loss: 0.553786 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.402893 | Val Loss: 0.507509 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.374544 | Val Loss: 0.489484 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.358275 | Val Loss: 0.481193 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.348250 | Val Loss: 0.476264 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.342045 | Val Loss: 0.479576 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.338147 | Val Loss: 0.475512 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.334701 | Val Loss: 0.482606 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.332782 | Val Loss: 0.479111 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.330516 | Val Loss: 0.483305 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.329389 | Val Loss: 0.482973 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.327883 | Val Loss: 0.483353 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.326883 | Val Loss: 0.480646 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.325898 | Val Loss: 0.477596 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.325203 | Val Loss: 0.484898 | LR: 6.83e-04
  Early stopping at epoch 17
  [1/6] traffic pl96 patchtst s2024 -> MSE=0.55817 MAE=0.35541 (1104s)
  Epoch   1/30 | Train Loss: 0.636009 | Val Loss: 0.676317 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.474345 | Val Loss: 0.598314 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.431810 | Val Loss: 0.544126 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.390719 | Val Loss: 0.502784 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.364721 | Val Loss: 0.487951 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.350725 | Val Loss: 0.477841 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.341011 | Val Loss: 0.469305 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.334053 | Val Loss: 0.466998 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.329089 | Val Loss: 0.465495 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.324958 | Val Loss: 0.466541 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.322357 | Val Loss: 0.467327 | LR: 9.78e-04
  Epoch  12/30 | Train Loss: 0.319772 | Val Loss: 0.474978 | LR: 9.50e-04
  Epoch  13/30 | Train Loss: 0.317869 | Val Loss: 0.470413 | LR: 9.13e-04
  Epoch  14/30 | Train Loss: 0.316346 | Val Loss: 0.469598 | LR: 8.66e-04
  Epoch  15/30 | Train Loss: 0.314870 | Val Loss: 0.469742 | LR: 8.12e-04
  Epoch  16/30 | Train Loss: 0.313500 | Val Loss: 0.475676 | LR: 7.50e-04
  Epoch  17/30 | Train Loss: 0.312871 | Val Loss: 0.465452 | LR: 6.83e-04
  Epoch  18/30 | Train Loss: 0.311640 | Val Loss: 0.470833 | LR: 6.11e-04
  Epoch  19/30 | Train Loss: 0.310855 | Val Loss: 0.468083 | LR: 5.37e-04
  Epoch  20/30 | Train Loss: 0.309933 | Val Loss: 0.475187 | LR: 4.63e-04
  Epoch  21/30 | Train Loss: 0.309216 | Val Loss: 0.471856 | LR: 3.89e-04
  Epoch  22/30 | Train Loss: 0.308773 | Val Loss: 0.473664 | LR: 3.17e-04
  Epoch  23/30 | Train Loss: 0.307981 | Val Loss: 0.474794 | LR: 2.50e-04
  Epoch  24/30 | Train Loss: 0.307421 | Val Loss: 0.475525 | LR: 1.88e-04
  Epoch  25/30 | Train Loss: 0.307153 | Val Loss: 0.475148 | LR: 1.33e-04
  Early stopping at epoch 25
  [2/6] traffic pl96 no_gate s2024 -> MSE=0.53037 MAE=0.35187 (1355s)
  Epoch   1/30 | Train Loss: 0.642196 | Val Loss: 0.653208 | LR: 6.90e-05
  Epoch   2/30 | Train Loss: 0.471231 | Val Loss: 0.586151 | LR: 1.52e-04
  Epoch   3/30 | Train Loss: 0.428465 | Val Loss: 0.547811 | LR: 2.80e-04
  Epoch   4/30 | Train Loss: 0.381380 | Val Loss: 0.510166 | LR: 4.37e-04
  Epoch   5/30 | Train Loss: 0.347672 | Val Loss: 0.483271 | LR: 6.03e-04
  Epoch   6/30 | Train Loss: 0.328789 | Val Loss: 0.468876 | LR: 7.60e-04
  Epoch   7/30 | Train Loss: 0.318648 | Val Loss: 0.459685 | LR: 8.88e-04
  Epoch   8/30 | Train Loss: 0.310058 | Val Loss: 0.448773 | LR: 9.71e-04
  Epoch   9/30 | Train Loss: 0.302084 | Val Loss: 0.454504 | LR: 1.00e-03
  Epoch  10/30 | Train Loss: 0.295964 | Val Loss: 0.451870 | LR: 9.94e-04
  Epoch  11/30 | Train Loss: 0.291222 | Val Loss: 0.452455 | LR: 9.78e-04
